File: parameter_data.csv,,,
Description: Each row represents a possible plant functional type or a species. Each column a parameter.,,,
14,stand,species_no,number of species/PFT
15,BAGA_optimizer,runSupplyCurve,turns all iteration on/off
16,BAGA_optimizer,useAreaTable,if y will pull GA:BA_ LA:BA_ LAI from AreaData table per year and per site
17,BAGA_optimizer,iterGroundWater,
18,BAGA_optimizer,iterFFC,
19,BAGA_optimizer,iterBAGA,Increate the BA:GA to find the basal area that puts the stand in ecohydrological equilibrium with the weather conditions
20,BAGA_optimizer,yearsAsCounts,"The ""year"" values represent different data set ID's_ not actual years. In this mode the ""start"" year is always 0"
21,BAGA_optimizer,SiteCode,Used for finding data from other sheets (like the AreaData sheet)
22,Chain_Runs,Filename,"When the run terminates_ will look for an OPEN workbook with this name and execute the model run on it. Use this to ""chain"" runs for different sites together. Auto-save the workbook (as OUTPUT_workbookName.xlsm) on completion of iteration"
23,Chain_Runs,BAGA_Send,Send the optimated BA:GA to the next program in the chain?
24,Assimilation,ci_acclimation,Acclimate internal CO2
25,BAGA_optimizer,GS_Data_OPT,
,,,
File: seasonlimits.csv,,,
Description: Each row represents a year. Each column a yearly characteristic.,,,
Column,Description,,
Year,Year for which growing season limits are known,,
Day_start,Day of the year in which growing season starts,,
Day_end,Day of the year in which growing season ends,,
Ca_ppm,Atmospheric carbon dioxide concentration for each year. It will be used as part of the parameter data.,,
,,,
File: dataset.csv,,,
Description: file with the climate forcing variables used in the model where every row is a time-step,,,
Column,Description,,
Year,Year of the simulation,,
Day,Day of the year in julian days,,
Hour,"hour of the day, this is our time-step indicator",,
Solar_Wm2,Total solar radiation in Wm2,,
Rain_mm,"Total rain per hour/day, in mm",,
Wind_ms.1,Wind velocity in ms1,,
Tair_C,Air temperature in C,,
Tsoil_C,Soil temperature in C,,
D_kPa,Vapor pressure deficit in Kpa,,
